submission_id,trial_number,block,stimulus,RT,handedness,gender,total_time_spent,comments,mean_C,sd_C,trial_type,trial
8553,8,reaction,circle,322,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,58
8553,9,reaction,square,307,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,59
8553,10,reaction,circle,268,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,60
8553,11,reaction,square,380,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,61
8553,12,reaction,circle,314,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,62
8553,13,reaction,square,284,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,63
8553,14,reaction,circle,305,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,64
8553,15,reaction,square,295,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,65
8553,16,reaction,square,242,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,66
8553,17,reaction,circle,301,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,67
8553,18,reaction,square,289,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,68
8553,19,reaction,square,311,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,69
8553,20,reaction,square,279,Right,female,4.44878333333333,non given,311.337,157.1413912622892,acceptable,70
8553,1,goNoGo,circle,429,Right,female,4.44878333333333,non given,442.3680154142582,104.39193955717755,acceptable,71
8553,4,goNoGo,circle,441,Right,female,4.44878333333333,non given,442.3680154142582,104.39193955717755,acceptable,72
8553,5,goNoGo,circle,490,Right,female,4.44878333333333,non given,442.3680154142582,104.39193955717755,acceptable,73
8553,7,goNoGo,circle,353,Right,female,4.44878333333333,non given,442.3680154142582,104.39193955717755,acceptable,74
8553,8,goNoGo,circle,423,Right,female,4.44878333333333,non given,442.3680154142582,104.39193955717755,acceptable,75
8553,10,goNoGo,circle,374,Right,female,4.44878333333333,non given,442.3680154142582,104.39193955717755,acceptable,76
8553,11,goNoGo,circle,473,Right,female,4.44878333333333,non given,442.3680154142582,104.39193955717755,acceptable,77
8553,16,goNoGo,circle,397,Right,female,4.44878333333333,non given,442.3680154142582,104.39193955717755,acceptable,78
8553,18,goNoGo,circle,376,Right,female,4.44878333333333,non given,442.3680154142582,104.39193955717755,acceptable,79
8553,19,goNoGo,circle,520,Right,female,4.44878333333333,non given,442.3680154142582,104.39193955717755,acceptable,80
8553,1,discrimination,NA,504,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,81
8553,2,discrimination,NA,496,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,82
8553,3,discrimination,NA,516,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,83
8553,4,discrimination,NA,533,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,84
8553,5,discrimination,NA,402,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,85
8553,6,discrimination,NA,395,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,86
8553,7,discrimination,NA,346,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,87
8553,8,discrimination,NA,365,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,88
8553,9,discrimination,NA,449,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,89
8553,10,discrimination,NA,647,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,90
8553,11,discrimination,NA,460,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,91
8553,12,discrimination,NA,445,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,92
8553,13,discrimination,NA,527,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,93
8553,14,discrimination,NA,482,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,94
8553,15,discrimination,NA,437,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,95
8553,16,discrimination,NA,566,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,96
8553,17,discrimination,NA,537,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,97
8553,18,discrimination,NA,471,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,98
8553,19,discrimination,NA,458,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,99
8553,20,discrimination,NA,432,Right,female,4.44878333333333,non given,517.792,185.41160751204384,acceptable,100
8552,1,reaction,square,319,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,101
8552,2,reaction,circle,300,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,102
8552,3,reaction,circle,267,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,103
8552,4,reaction,square,269,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,104
8552,5,reaction,square,256,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,105
8552,6,reaction,circle,304,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,106
8552,7,reaction,square,267,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,107
8552,8,reaction,circle,288,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,108
8552,9,reaction,square,248,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,109
8552,10,reaction,circle,276,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,110
8552,11,reaction,square,286,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,111
8552,12,reaction,circle,271,Right,male,25.5699166666667,non given,311.337,157.1413912622892,acceptable,112
